"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","полностью совпадающие диапазоны — overlap === true","unit","2026-09-25","passed","2026-09-25","Unit: пересечение слотов по времени","tests/unit/slots.spec.ts","",""
"","4071","Смена имени в профиле","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","4480","вход с неверными данными — одинаковая ошибка в обоих случаях, без уточнения причины","e2e","2026-09-25","passed","2026-09-25","Вход с неверными данными","tests/e2e/login-error.spec.ts","",""
"","10903","Закрытие окна подтверждения не создаёт бронь","e2e","2026-09-25","passed","2026-09-25","Состояние бронирования: окно подтверждения и календарь участника","tests/e2e/booking-state.spec.ts","",""
"","4275","Навык: заполняем, выбираем, добавляем","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","7683","Гость видит карточку участника в каталоге","e2e","2026-09-25","passed","2026-09-25","Гость: возможности неавторизованного пользователя","tests/e2e/guest-access.spec.ts","",""
"","3471","Заполнение поля Telegram","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","1","пароль короче 8 символов — невалиден","unit","2026-09-25","passed","2026-09-25","Валидация пароля при регистрации","tests/unit/slots.spec.ts","",""
"","4430","Поверхности брони показывают только начало слота, «25 минут» в диалоге — статичный текст","e2e","2026-09-25","passed","2026-09-25","Длительность слота — 25 минут (R7.1): границы наблюдаемости","tests/e2e/slot-duration.spec.ts","",""
"","14788","Забронированный слот удалить нельзя","e2e","2026-09-25","passed","2026-09-25","Мои встречи: отмена брони","tests/e2e/booking-cancel.spec.ts","",""
"","11975","Отмена запрещена позже чем за 2 часа до начала","e2e","2026-09-25","passed","2026-09-25","Отмена: окно 2 часа до начала","tests/e2e/cancel-window.spec.ts","",""
"","8288","поиск по навыку находит карточку хоста со слотом","e2e","2026-09-25","passed","2026-09-25","Каталог: поиск","tests/e2e/catalog-search.spec.ts","",""
"","1","слот A целиком позже слота B — overlap === false","unit","2026-09-25","passed","2026-09-25","Unit: пересечение слотов по времени","tests/unit/slots.spec.ts","",""
"","2844","Список часовых поясов соответствует спецификации","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","68","гонка двух одновременных броней на один слот — подтверждена ровно одна (сценарий 6)","api","2026-09-25","passed","2026-09-25","API: бронирование слота PomidorQA","tests/api/booking-api.spec.ts","",""
"","3505","успешная регистрация нового пользователя через форму","e2e","2026-09-25","passed","2026-09-25","Форма регистрации","tests/e2e/register-form.spec.ts","",""
"","7865","Гость открывает карточку участника и видит слоты","e2e","2026-09-25","passed","2026-09-25","Гость: возможности неавторизованного пользователя","tests/e2e/guest-access.spec.ts","",""
"","2589","пустая форма не отправляется — обязательные поля блокируют сабмит","e2e","2026-09-25","passed","2026-09-25","Форма регистрации","tests/e2e/register-form.spec.ts","",""
"","16331","Хост отменяет встречу — слот снова свободен и бронируется","e2e","2026-09-25","passed","2026-09-25","Мои встречи: отмена брони","tests/e2e/booking-cancel.spec.ts","",""
